VD,ID,VG,IG,ACCSTRESS
5.00000000E+000,1.49600000E-004,-1.00000000E+001,-3.15740000E-009,0.00000000E+000
5.00000000E+000,1.31250000E-004,-9.60000000E+000,2.43850000E-009,*
5.00000000E+000,1.30400000E-004,-9.20000000E+000,-3.32790000E-009,*
5.00000000E+000,1.30000000E-004,-8.80000000E+000,2.11150000E-009,*
5.00000000E+000,1.29950000E-004,-8.40000000E+000,-1.47250000E-009,*
5.00000000E+000,1.30200000E-004,-8.00000000E+000,3.20000000E-010,*
5.00000000E+000,1.30650000E-004,-7.60000000E+000,1.45450000E-009,*
5.00000000E+000,1.31500000E-004,-7.20000000E+000,-2.81190000E-009,*
5.00000000E+000,1.32500000E-004,-6.80000000E+000,3.06150000E-009,*
5.00000000E+000,1.33900000E-004,-6.40000000E+000,-2.54800000E-009,*
5.00000000E+000,1.35500000E-004,-6.00000000E+000,1.27250000E-009,*
5.00000000E+000,1.37500000E-004,-5.60000000E+000,-7.68490000E-010,*
5.00000000E+000,1.39850000E-004,-5.20000000E+000,-1.10150000E-009,*
5.00000000E+000,1.42400000E-004,-4.80000000E+000,2.73940000E-009,*
5.00000000E+000,1.45500000E-004,-4.40000000E+000,-2.84690000E-009,*
5.00000000E+000,1.48900000E-004,-4.00000000E+000,2.99390000E-009,*
5.00000000E+000,1.52900000E-004,-3.60000000E+000,-2.00540000E-009,*
5.00000000E+000,1.57300000E-004,-3.20000000E+000,1.50000000E-009,*
5.00000000E+000,1.62300000E-004,-2.80000000E+000,-8.42000000E-010,*
5.00000000E+000,1.68350000E-004,-2.40000000E+000,-1.52450000E-009,*
5.00000000E+000,1.74800000E-004,-2.00000000E+000,3.02650000E-009,*
5.00000000E+000,1.82700000E-004,-1.60000000E+000,-2.79790000E-009,*
5.00000000E+000,1.91200000E-004,-1.20000000E+000,2.92290000E-009,*
5.00000000E+000,2.00800000E-004,-8.00000000E-001,-1.67100000E-009,*
5.00000000E+000,2.11450000E-004,-4.00000000E-001,1.43300000E-009,*
