VD,ID,VG,IG,ACCSTRESS
5.00000000E+000,9.99760000E-002,-1.00000000E+001,-9.99790000E-002,0.00000000E+000
5.00000000E+000,9.99450000E-002,-9.60000000E+000,-9.99790000E-002,*
5.00000000E+000,9.99600000E-002,-9.20000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99140000E-002,-8.80000000E+000,-9.99910000E-002,*
5.00000000E+000,9.99370000E-002,-8.40000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-8.00000000E+000,-9.99790000E-002,*
5.00000000E+000,9.99370000E-002,-7.60000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-7.20000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-6.80000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-6.40000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-6.00000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-5.60000000E+000,-9.99790000E-002,*
5.00000000E+000,9.99370000E-002,-5.20000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-4.80000000E+000,-9.99790000E-002,*
5.00000000E+000,9.99370000E-002,-4.40000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-4.00000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-3.60000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-3.20000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-2.80000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-2.40000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-2.00000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-1.60000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-1.20000000E+000,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-8.00000000E-001,-9.99870000E-002,*
5.00000000E+000,9.99370000E-002,-4.00000000E-001,-9.99790000E-002,*
5.00000000E+000,9.99370000E-002,0.00000000E+000,-9.67290000E-002,*
5.00000000E+000,9.99370000E-002,4.00000000E-001,-8.78220000E-002,*
5.00000000E+000,9.52070000E-002,8.00000000E-001,-7.42150000E-002,*
5.00000000E+000,8.24390000E-002,1.20000000E+000,-5.27250000E-002,*
5.00000000E+000,7.02210000E-002,1.60000000E+000,-3.15090000E-002,*
5.00000000E+000,5.89660000E-002,2.00000000E+000,-3.34550000E-003,*
5.00000000E+000,4.82840000E-002,2.40000000E+000,1.91500000E-002,*
5.00000000E+000,3.89400000E-002,2.80000000E+000,4.74700000E-002,*
5.00000000E+000,3.02550000E-002,3.20000000E+000,6.96750000E-002,*
