VD,ID,VG,IG,ACCSTRESS
-2.80000000E+000,-1.00020000E-001,1.00000000E+000,9.87630000E-002,*
-2.40000000E+000,-1.00020000E-001,1.00000000E+000,9.87660000E-002,*
-2.00000000E+000,-1.00020000E-001,1.00000000E+000,9.87630000E-002,*
-1.60000000E+000,-8.40950000E-002,1.00000000E+000,8.43850000E-002,*
-1.20000000E+000,-6.41900000E-002,1.00000000E+000,6.38470000E-002,*
-8.00000000E-001,-4.36900000E-002,1.00000000E+000,4.39450000E-002,*
-4.00000000E-001,-2.49900000E-002,1.00000000E+000,2.61900000E-002,*
0.00000000E+000,-9.71130000E-003,1.00000000E+000,1.17550000E-002,*
4.00000000E-001,-2.65750000E-003,1.00000000E+000,4.93960000E-003,*
8.00000000E-001,-6.96450000E-004,1.00000000E+000,3.01750000E-003,*
1.20000000E+000,1.38000000E-003,1.00000000E+000,9.69320000E-004,*
1.60000000E+000,5.20160000E-003,1.00000000E+000,-2.79060000E-003,*
2.00000000E+000,1.02310000E-002,1.00000000E+000,-7.73950000E-003,*
2.40000000E+000,1.62000000E-002,1.00000000E+000,-1.35950000E-002,*
2.80000000E+000,2.29900000E-002,1.00000000E+000,-2.02550000E-002,*
3.20000000E+000,3.03950000E-002,1.00000000E+000,-2.74910000E-002,*
3.60000000E+000,3.82560000E-002,1.00000000E+000,-3.52150000E-002,*
4.00000000E+000,4.64210000E-002,1.00000000E+000,-4.33650000E-002,*
4.40000000E+000,5.50310000E-002,1.00000000E+000,-5.15160000E-002,*
4.80000000E+000,6.48310000E-002,1.00000000E+000,-6.11250000E-002,*
5.20000000E+000,7.55200000E-002,1.00000000E+000,-7.74800000E-002,*
5.60000000E+000,9.48450000E-002,1.00000000E+000,-9.00270000E-002,*
6.00000000E+000,9.99370000E-002,1.00000000E+000,-9.48300000E-002,*
6.40000000E+000,9.99410000E-002,1.00000000E+000,-9.48260000E-002,*
6.80000000E+000,9.99370000E-002,1.00000000E+000,-9.48220000E-002,*
7.20000000E+000,9.99370000E-002,1.00000000E+000,-9.48140000E-002,*
7.60000000E+000,9.99370000E-002,1.00000000E+000,-9.48140000E-002,*
8.00000000E+000,9.99370000E-002,1.00000000E+000,-9.48140000E-002,*
8.40000000E+000,9.99370000E-002,1.00000000E+000,-9.48220000E-002,*
8.80000000E+000,9.99370000E-002,1.00000000E+000,-9.48140000E-002,*
9.20000000E+000,9.99370000E-002,1.00000000E+000,-9.48140000E-002,*
9.60000000E+000,9.99370000E-002,1.00000000E+000,-9.48100000E-002,*
1.00000000E+001,9.99370000E-002,1.00000000E+000,-9.48140000E-002,*
-1.00000000E+001,-1.00020000E-001,2.00000000E+000,9.99910000E-002,0.00000000E+000
-9.60000000E+000,-1.00020000E-001,2.00000000E+000,9.99910000E-002,*
-9.20000000E+000,-1.00020000E-001,2.00000000E+000,9.99870000E-002,*
-8.80000000E+000,-1.00020000E-001,2.00000000E+000,9.99910000E-002,*
-8.40000000E+000,-1.00020000E-001,2.00000000E+000,9.99870000E-002,*
-8.00000000E+000,-1.00020000E-001,2.00000000E+000,9.99870000E-002,*
-7.60000000E+000,-1.00020000E-001,2.00000000E+000,9.99910000E-002,*
-7.20000000E+000,-1.00020000E-001,2.00000000E+000,9.99910000E-002,*
-6.80000000E+000,-1.00020000E-001,2.00000000E+000,9.99910000E-002,*
-6.40000000E+000,-1.00020000E-001,2.00000000E+000,9.99910000E-002,*
-6.00000000E+000,-1.00020000E-001,2.00000000E+000,9.99910000E-002,*
-5.60000000E+000,-1.00020000E-001,2.00000000E+000,9.99910000E-002,*
-5.20000000E+000,-1.00020000E-001,2.00000000E+000,9.99910000E-002,*
-4.80000000E+000,-1.00020000E-001,2.00000000E+000,9.99870000E-002,*
-4.40000000E+000,-1.00020000E-001,2.00000000E+000,9.99870000E-002,*
