VD,ID,VG,IG,ACCSTRESS
5.00000000E+000,8.26890000E-004,-1.00000000E+001,7.60000000E-011,0.00000000E+000
5.00000000E+000,8.27700000E-004,-9.60000000E+000,6.36480000E-010,*
5.00000000E+000,8.27310000E-004,-9.20000000E+000,-2.96540000E-009,*
5.00000000E+000,8.27340000E-004,-8.80000000E+000,2.84590000E-009,*
5.00000000E+000,8.27910000E-004,-8.40000000E+000,-3.10590000E-009,*
5.00000000E+000,8.28440000E-004,-8.00000000E+000,2.12590000E-009,*
5.00000000E+000,8.28060000E-004,-7.60000000E+000,-1.32950000E-009,*
5.00000000E+000,8.28210000E-004,-7.20000000E+000,3.91990000E-010,*
5.00000000E+000,8.29370000E-004,-6.80000000E+000,1.27700000E-009,*
5.00000000E+000,8.30290000E-004,-6.40000000E+000,-2.17790000E-009,*
5.00000000E+000,8.32800000E-004,-6.00000000E+000,3.02000000E-009,*
5.00000000E+000,8.35360000E-004,-5.60000000E+000,-2.99850000E-009,*
5.00000000E+000,8.38760000E-004,-5.20000000E+000,2.70540000E-009,*
5.00000000E+000,8.42360000E-004,-4.80000000E+000,-1.78850000E-009,*
5.00000000E+000,8.46270000E-004,-4.40000000E+000,1.18100000E-009,*
5.00000000E+000,8.49750000E-004,-4.00000000E+000,-6.30990000E-010,*
5.00000000E+000,8.53720000E-004,-3.60000000E+000,-1.17500000E-009,*
5.00000000E+000,8.56760000E-004,-3.20000000E+000,2.52690000E-009,*
5.00000000E+000,8.60450000E-004,-2.80000000E+000,-2.79500000E-009,*
5.00000000E+000,8.64560000E-004,-2.40000000E+000,3.18140000E-009,*
5.00000000E+000,8.67990000E-004,-2.00000000E+000,-2.24390000E-009,*
5.00000000E+000,8.72610000E-004,-1.60000000E+000,1.88990000E-009,*
5.00000000E+000,8.76070000E-004,-1.20000000E+000,-9.18980000E-010,*
5.00000000E+000,8.78540000E-004,-8.00000000E-001,-1.03550000E-009,*
5.00000000E+000,8.81400000E-004,-4.00000000E-001,2.52190000E-009,*
5.00000000E+000,8.83520000E-004,0.00000000E+000,-2.63140000E-009,*
5.00000000E+000,8.87300000E-004,4.00000000E-001,3.35840000E-009,*
5.00000000E+000,8.95500000E-004,8.00000000E-001,-2.45640000E-009,*
5.00000000E+000,9.23210000E-004,1.20000000E+000,2.31340000E-009,*
5.00000000E+000,9.65450000E-004,1.60000000E+000,-1.03350000E-009,*
5.00000000E+000,1.02260000E-003,2.00000000E+000,9.93450000E-010,*
5.00000000E+000,1.09550000E-003,2.40000000E+000,1.20200000E-009,*
5.00000000E+000,1.17850000E-003,2.80000000E+000,-1.70500000E-009,*
5.00000000E+000,1.27250000E-003,3.20000000E+000,3.23350000E-009,*
5.00000000E+000,1.37750000E-003,3.60000000E+000,-2.73440000E-009,*
5.00000000E+000,1.49350000E-003,4.00000000E+000,2.95740000E-009,*
5.00000000E+000,1.61850000E-003,4.40000000E+000,-1.41100000E-009,*
5.00000000E+000,1.75200000E-003,4.80000000E+000,1.34850000E-009,*
5.00000000E+000,1.89300000E-003,5.20000000E+000,-2.28500000E-010,*
5.00000000E+000,2.04050000E-003,5.60000000E+000,-1.22050000E-009,*
5.00000000E+000,2.19360000E-003,6.00000000E+000,3.00640000E-009,*
5.00000000E+000,2.35060000E-003,6.40000000E+000,-2.65790000E-009,*
5.00000000E+000,2.50800000E-003,6.80000000E+000,3.12840000E-009,*
5.00000000E+000,2.66710000E-003,7.20000000E+000,-1.50850000E-009,*
5.00000000E+000,2.82450000E-003,7.60000000E+000,1.49650000E-009,*
5.00000000E+000,2.98200000E-003,8.00000000E+000,-3.45000000E-010,*
5.00000000E+000,3.13600000E-003,8.40000000E+000,-9.39450000E-010,*
5.00000000E+000,3.28800000E-003,8.80000000E+000,3.41740000E-009,*
5.00000000E+000,3.43800000E-003,9.20000000E+000,-2.57490000E-009,*
5.00000000E+000,3.58360000E-003,9.60000000E+000,3.01890000E-009,*
5.00000000E+000,3.72650000E-003,1.00000000E+001,-1.34250000E-009,*
0.00000000E+000,1.49400000E-006,1.00000000E+000,2.68200000E-009,0.00000000E+000
2.00000000E-001,1.45600000E-005,1.00000000E+000,-2.99500000E-009,*
4.00000000E-001,2.16500000E-005,1.00000000E+000,2.93890000E-009,*
6.00000000E-001,2.58450000E-005,1.00000000E+000,-2.17390000E-009,*
8.00000000E-001,2.89190000E-005,1.00000000E+000,1.19100000E-009,*
